experiment,well,strain,DS
RA00069_220720,CAM037A2,cat-2,3
RA00069_220720,CAM037A3,cat-2,3
RA00069_220720,CAM037A4,cat-2,3
RA00069_220720,CAM037A5,cat-2,3
RA00069_220720,CAM037A6,cat-2,3
RA00069_220720,CAM302A1,cat-2,3
RA00069_220720,CAM302A2,cat-2,3
RA00069_220720,CAM302A3,cat-2,3
RA00069_220720,CAM302A4,cat-2,3
RA00069_220720,CAM302A5,cat-2,3
RA00069_220720,CAM302A6,cat-2,3
RA00069_220720,CAM307A1,cat-2,3
RA00069_220720,CAM307A2,cat-2,3
RA00069_220720,CAM307A4,cat-2,3
RA00069_220720,CAM307A5,cat-2,3
RA00069_220720,CAM516A2,cat-2,3
RA00069_220720,CAM516A4,cat-2,3
RA00069_220720,CAM516A5,cat-2,3
RA00069_220720,CAM516A6,cat-2,3
RA00073_090820,CAM034A3,N2,3
RA00073_090820,CAM034A4,N2,3
RA00073_090820,CAM034A6,N2,3
RA00073_090820,CAM035A2,N2,3
RA00073_090820,CAM035A3,N2,3
RA00073_090820,CAM035A5,N2,3
RA00073_090820,CAM035A6,N2,3
RA00073_090820,CAM037A3,N2,3
RA00073_090820,CAM037A4,N2,3
RA00073_090820,CAM037A5,N2,3
RA00073_090820,CAM037A6,N2,3
RA00073_090820,CAM302A1,N2,3
RA00073_090820,CAM302A2,N2,3
RA00073_090820,CAM302A4,N2,3
RA00073_090820,CAM302A5,N2,3
RA00073_090820,CAM307A3,N2,3
RA00073_090820,CAM307A6,N2,3
RA00073_090820,CAM516A1,N2,3
RA00073_090820,CAM516A3,N2,3
RA00073_090820,CAM516A4,N2,3
RA00073_090820,CAM516A5,N2,3
RA00073_090820,CAM516A6,N2,3
RA00074_160820,CAM034A2,cat-2,0
RA00074_160820,CAM034A3,cat-2,0
RA00074_160820,CAM034A4,cat-2,0
RA00074_160820,CAM034A5,cat-2,0
RA00074_160820,CAM034A6,cat-2,0
RA00074_160820,CAM035A1,cat-2,0
RA00074_160820,CAM035A2,cat-2,0
RA00074_160820,CAM035A3,cat-2,0
RA00074_160820,CAM035A4,cat-2,0
RA00074_160820,CAM035A5,cat-2,0
RA00074_160820,CAM037A2,cat-2,0
RA00074_160820,CAM037A4,cat-2,0
RA00074_160820,CAM037A5,cat-2,0
RA00074_160820,CAM302A1,cat-2,0
RA00074_160820,CAM302A2,cat-2,0
RA00074_160820,CAM302A4,cat-2,0
RA00074_160820,CAM302A5,cat-2,0
RA00077_190820,CAM034A1,cat-2,3
RA00077_190820,CAM034A2,cat-2,3
RA00077_190820,CAM034A3,cat-2,3
RA00077_190820,CAM034A4,cat-2,3
RA00077_190820,CAM034A5,cat-2,3
RA00077_190820,CAM034A6,cat-2,3
RA00077_190820,CAM035A1,cat-2,3
RA00077_190820,CAM035A2,cat-2,3
RA00077_190820,CAM035A4,cat-2,3
RA00077_190820,CAM035A5,cat-2,3
RA00077_190820,CAM035A6,cat-2,3
RA00077_190820,CAM037A1,cat-2,3
RA00077_190820,CAM037A2,cat-2,3
RA00077_190820,CAM037A3,cat-2,3
RA00077_190820,CAM037A4,cat-2,3
RA00077_190820,CAM037A5,cat-2,3
RA00077_190820,CAM302A1,cat-2,3
RA00077_190820,CAM302A2,cat-2,3
RA00077_190820,CAM302A3,cat-2,3
RA00077_190820,CAM302A4,cat-2,3
RA00077_190820,CAM302A5,cat-2,3
RA00077_190820,CAM302A6,cat-2,3
RA00077_190820,CAM307A3,cat-2,3
RA00077_190820,CAM307A4,cat-2,3
RA00077_190820,CAM307A6,cat-2,3
RA00077_190820,CAM516A1,cat-2,3
RA00077_190820,CAM516A2,cat-2,3
RA00077_190820,CAM516A3,cat-2,3
RA00077_190820,CAM516A4,cat-2,3
RA00077_190820,CAM516A5,cat-2,3
RA00077_190820,CAM516A6,cat-2,3
RA00116_101220,CAM034A1,cat-2,1
RA00116_101220,CAM034A2,cat-2,1
RA00116_101220,CAM034A3,cat-2,1
RA00116_101220,CAM034A4,cat-2,1
RA00116_101220,CAM034A5,cat-2,1
RA00116_101220,CAM034A6,cat-2,1
RA00116_101220,CAM035A1,cat-2,1
RA00116_101220,CAM035A2,cat-2,1
RA00116_101220,CAM035A3,cat-2,1
RA00116_101220,CAM035A6,cat-2,1
RA00116_101220,CAM037A1,cat-2,1
RA00116_101220,CAM037A2,cat-2,1
RA00116_101220,CAM037A3,cat-2,1
RA00116_101220,CAM037A4,cat-2,1
RA00116_101220,CAM037A5,cat-2,1
